run_id,subject_id,condition,phase,item_id,claim_id,env,y,p,answer,response,source_anchor,recognized_at,contradiction_available_at,recognition_lag,fair_play_rating,experiment_id,evaluation_target,story_title,fair_play_status,graph_file,fair_play_diagnostic_file,template_role
,,plain-reading,pre-reveal,story::blue-carbuncle,claim::blue-carbuncle::baker-stole-jewel,K,0,0.25,,No contradiction recognized before the reveal.,opening inquiry after the recovered hat and goose,,7,,fair,detective-fair-play-pilot-001,detective_contradiction_recognition,The Adventure of the Blue Carbuncle,fair_play,examples/detective_corpus/sidecars/blue-carbuncle/epistemap_graph.json,examples/detective_corpus/sidecars/blue-carbuncle/fair_play_diagnostic.json,primary
,,plain-reading,post-reveal,story::blue-carbuncle,claim::blue-carbuncle::baker-stole-jewel,K,1,0.75,,Contradiction recognized from the reviewed source anchor.,opening inquiry after the recovered hat and goose,8,7,1.0,fair,detective-fair-play-pilot-001,detective_contradiction_recognition,The Adventure of the Blue Carbuncle,fair_play,examples/detective_corpus/sidecars/blue-carbuncle/epistemap_graph.json,examples/detective_corpus/sidecars/blue-carbuncle/fair_play_diagnostic.json,primary
,,graph-assisted,pre-reveal,story::blue-carbuncle,claim::blue-carbuncle::baker-stole-jewel,K,0,0.35,,No contradiction recognized before the reveal.,opening inquiry after the recovered hat and goose,,7,,fair,detective-fair-play-pilot-001,detective_contradiction_recognition,The Adventure of the Blue Carbuncle,fair_play,examples/detective_corpus/sidecars/blue-carbuncle/epistemap_graph.json,examples/detective_corpus/sidecars/blue-carbuncle/fair_play_diagnostic.json,primary
,,graph-assisted,post-reveal,story::blue-carbuncle,claim::blue-carbuncle::baker-stole-jewel,K,1,0.90,,Contradiction recognized from the reviewed source anchor.,opening inquiry after the recovered hat and goose,7,7,0.0,fair,detective-fair-play-pilot-001,detective_contradiction_recognition,The Adventure of the Blue Carbuncle,fair_play,examples/detective_corpus/sidecars/blue-carbuncle/epistemap_graph.json,examples/detective_corpus/sidecars/blue-carbuncle/fair_play_diagnostic.json,primary
,,plain-reading,pre-reveal,story::purloined-letter-control,claim::purloined-letter::secret-compartment,K,0,0.25,,No contradiction recognized before the reveal.,police description of exhaustive hidden-place searches,,9,,unfair,detective-fair-play-pilot-001,detective_contradiction_recognition,The Purloined Letter,withheld_decisive_evidence,examples/detective_corpus/sidecars/purloined-letter-control/epistemap_graph.json,examples/detective_corpus/sidecars/purloined-letter-control/fair_play_diagnostic.json,control
,,plain-reading,post-reveal,story::purloined-letter-control,claim::purloined-letter::secret-compartment,K,1,0.55,,Contradiction recognized from the reviewed source anchor.,police description of exhaustive hidden-place searches,10,9,1.0,unfair,detective-fair-play-pilot-001,detective_contradiction_recognition,The Purloined Letter,withheld_decisive_evidence,examples/detective_corpus/sidecars/purloined-letter-control/epistemap_graph.json,examples/detective_corpus/sidecars/purloined-letter-control/fair_play_diagnostic.json,control
,,graph-assisted,pre-reveal,story::purloined-letter-control,claim::purloined-letter::secret-compartment,K,0,0.35,,No contradiction recognized before the reveal.,police description of exhaustive hidden-place searches,,9,,unfair,detective-fair-play-pilot-001,detective_contradiction_recognition,The Purloined Letter,withheld_decisive_evidence,examples/detective_corpus/sidecars/purloined-letter-control/epistemap_graph.json,examples/detective_corpus/sidecars/purloined-letter-control/fair_play_diagnostic.json,control
,,graph-assisted,post-reveal,story::purloined-letter-control,claim::purloined-letter::secret-compartment,K,1,0.65,,Contradiction recognized from the reviewed source anchor.,police description of exhaustive hidden-place searches,9,9,0.0,unfair,detective-fair-play-pilot-001,detective_contradiction_recognition,The Purloined Letter,withheld_decisive_evidence,examples/detective_corpus/sidecars/purloined-letter-control/epistemap_graph.json,examples/detective_corpus/sidecars/purloined-letter-control/fair_play_diagnostic.json,control
,,plain-reading,pre-reveal,story::red-headed-league,claim::red-headed-league::legitimate-job,K,0,0.25,,No contradiction recognized before the reveal.,Wilson's account of the advertised copying work,,6,,fair,detective-fair-play-pilot-001,detective_contradiction_recognition,The Red-Headed League,fair_play,examples/detective_corpus/sidecars/red-headed-league/epistemap_graph.json,examples/detective_corpus/sidecars/red-headed-league/fair_play_diagnostic.json,primary
,,plain-reading,post-reveal,story::red-headed-league,claim::red-headed-league::legitimate-job,K,1,0.75,,Contradiction recognized from the reviewed source anchor.,Wilson's account of the advertised copying work,7,6,1.0,fair,detective-fair-play-pilot-001,detective_contradiction_recognition,The Red-Headed League,fair_play,examples/detective_corpus/sidecars/red-headed-league/epistemap_graph.json,examples/detective_corpus/sidecars/red-headed-league/fair_play_diagnostic.json,primary
