story_id,story_title,source_url,artifact_kind,artifact_id,current_narrative_anchor,text,reviewed_source_locator,reviewed_source_quote,reviewed_narrative_anchor,review_status,reviewer,reviewed_at,notes
story::blue-carbuncle,The Adventure of the Blue Carbuncle,https://en.wikisource.org/wiki/The_Adventures_of_Sherlock_Holmes/The_Adventure_of_the_Blue_Carbuncle,claim,claim::blue-carbuncle::baker-stole-jewel,opening inquiry after the recovered hat and goose,Henry Baker stole the blue carbuncle.,Paragraph 8 under https://en.wikisource.org/wiki/Page%3AThe_Strand_Magazine_(Volume_3).djvu/78,"You see, Watson, our little deductions have suddenly assumed a much more important and less innocent aspect. Here is the stone; the stone came from the goose, and the goose came from Mr. Henry Baker, the gentleman with the bad hat and all the other characteristics with which I have bored you. So now we must set ourselves very seriously to finding this gentleman, and ascertaining what part he has played in this little mystery.",opening inquiry after the recovered hat and goose,reviewed,Wesley R. Elsberry,2026-07-04,Working claim for contradiction-recognition testing; human review should confirm exact narrative anchors.
story::blue-carbuncle,The Adventure of the Blue Carbuncle,https://en.wikisource.org/wiki/The_Adventures_of_Sherlock_Holmes/The_Adventure_of_the_Blue_Carbuncle,claim,claim::blue-carbuncle::jewel-entered-goose-before-baker,The jewel entered the goose through a chain of events separate from Henry Baker's ownership.,The jewel entered the goose through a chain of events separate from Henry Baker's ownership.,Paragraph 2 under https://en.wikisource.org/wiki/Page%3AThe_Strand_Magazine_(Volume_3).djvu/80,"The man burst into a hearty laugh. ""They might be useful to me as relics of my adventure,"" said he, ""but beyond that I can hardly see what use the disjecta membra of my late acquaintance are going to be to me. No, sir, I think that, with your permission, I will confine my attentions to the excellent bird which I perceive upon the sideboard."" ",The jewel entered the goose through a chain of events separate from Henry Baker's ownership.,reviewed,Wesley R. Elsberry,2026-07-04,"This corrective claim is included to support graph linking, not as the primary recognition target."
story::blue-carbuncle,The Adventure of the Blue Carbuncle,https://en.wikisource.org/wiki/The_Adventures_of_Sherlock_Holmes/The_Adventure_of_the_Blue_Carbuncle,decisive_evidence,evidence::blue-carbuncle::goose-chain,The goose-purchase chain separates Henry Baker from the jewel's placement in the bird.,The goose-purchase chain separates Henry Baker from the jewel's placement in the bird.,Paragraph 1 under https://en.wikisource.org/wiki/Page%3AThe_Strand_Magazine_(Volume_3).djvu/84,"Ryder quivered with emotion. ""Oh, sir, he cried, ""can you tell me where it went to?""",The goose-purchase chain separates Henry Baker from the jewel's placement in the bird.,reviewed,Wesley R. Elsberry,2026-07-04,The chain separates Baker from the incriminating placement of the jewel.
story::purloined-letter-control,The Purloined Letter,https://en.wikisource.org/wiki/The_Purloined_Letter,claim,claim::purloined-letter::secret-compartment,police description of exhaustive hidden-place searches,The stolen letter must be hidden in a secret compartment or concealed recess.,"Wikisource, Purloined Letter, Prefect's search methods","""Suppose you detail,"" said I, ""the particulars of your search.""

""Why the fact is, we took our time, and we searched every where. I have had long experience in these affairs. I took the entire building, room by room; devoting the nights of a whole week to each. We examined, first, the furniture of each apartment. We opened every possible drawer; and I presume you know that, to a properly trained police agent, such a thing as a secret drawer is impossible. Any man is a dolt who permits a 'secret' drawer to escape him in a search of this kind. The thing is so plain. There is a certain amount of bulk—of space—to be accounted for in every cabinet. Then we have accurate rules. The fiftieth part of a line could not escape us. After the cabinets we took the chairs. The cushions we probed with the fine long needles you have seen me employ. From the tables we removed the tops."" ",police description of exhaustive hidden-place searches,reviewed,Wesley R. Elsberry,2026-07-04,This is a useful control because the police premise is described before Dupin's decisive observation is narrated.
story::purloined-letter-control,The Purloined Letter,https://en.wikisource.org/wiki/The_Purloined_Letter,claim,claim::purloined-letter::plain-sight,Dupin's retrospective explanation,The letter is disguised and left in plain sight.,"Wikisource, Purloined Letter, Dupin's explanation after payment","""No sooner had I glanced at this letter, than I concluded it to be that of which I was in search. To be sure, it was, to all appearance, radically different from the one of which the Prefect had read us so minute a description. Here the seal was large and black, with the D—— cipher; there it was small and red, with the ducal arms of the S—— family. Here, the address, to the Minister, diminutive and feminine; there the superscription, to a certain royal personage, was markedly bold and decided; the size alone formed a point of correspondence. But, then, the radicalness of these differences, which was excessive; the dirt; the soiled and torn condition of the paper, so inconsistent with the true methodical habits of D——, and so suggestive of a design to delude the beholder into an idea of the worthlessness of the document; these things, together with the hyper-obtrusive situation of this document, full in the view of every visiter, and thus exactly in accordance with the conclusions to which I had previously arrived; these things, I say, were strongly corroborative of suspicion, in one who came with the intention to suspect. ",Dupin's retrospective explanation,reviewed,Wesley R. Elsberry,2026-07-04,Corrective claim appears as part of the explanation rather than as reader-available decisive evidence.
story::purloined-letter-control,The Purloined Letter,https://en.wikisource.org/wiki/The_Purloined_Letter,decisive_evidence,evidence::purloined-letter::dupin-observation,Dupin reports his prior visit and observation after the fact,Dupin personally observes the disguised letter in plain sight before reporting the solution.,"Wikisource, Purloined Letter, Dupin reports his earlier visit","Dupin's decisive observation is reported retrospectively. He says he visited the minister, noticed a letter-like object in plain sight, memorized its appearance, returned the next morning with a duplicate, created a diversion, and substituted his facsimile for the real letter.",Dupin reports his prior visit and observation after the fact,reviewed,Wesley R. Elsberry,2026-07-04,"The key observation is attributed retrospectively to Dupin, making this a control for withheld decisive evidence."
story::red-headed-league,The Red-Headed League,https://en.wikisource.org/wiki/The_Adventures_of_Sherlock_Holmes/The_Red-Headed_League,claim,claim::red-headed-league::legitimate-job,Wilson's account of the advertised copying work,The Red-Headed League is a legitimate copying job.,"Wikisource, Red-Headed League, Wilson's account of the copying work",Wilson is told the position pays four pounds a week and that the work is purely nominal: he must remain in the office from ten to two and copy out the Encyclopaedia Britannica. He initially believes the arrangement is extraordinary but legitimate and reports being paid weekly.,Wilson's account of the advertised copying work,reviewed,Wesley R. Elsberry,2026-07-04,The work arrangement is the false surface premise that later evidence contradicts.
story::red-headed-league,The Red-Headed League,https://en.wikisource.org/wiki/The_Adventures_of_Sherlock_Holmes/The_Red-Headed_League,claim,claim::red-headed-league::bank-target,Holmes inspects the neighborhood and assistant's situation,The league is a diversion enabling a bank burglary through nearby premises.,"Wikisource, Red-Headed League, Holmes surveys Saxe-Coburg Square","Holmes inspects the neighborhood behind Saxe-Coburg Square and notes the order of businesses, including the Coburg branch of the City and Suburban Bank. Later he says a serious crime is in contemplation and brings Watson, Jones, and the bank director Merryweather to the cellar.",Holmes inspects the neighborhood and assistant's situation,reviewed,Wesley R. Elsberry,2026-07-04,"Included to support later graph treatments of motive, opportunity, and setting."
story::red-headed-league,The Red-Headed League,https://en.wikisource.org/wiki/The_Adventures_of_Sherlock_Holmes/The_Red-Headed_League,decisive_evidence,evidence::red-headed-league::dissolution-assistant-bank,the league's abrupt dissolution and the inspection of Spaulding and the bank neighborhood,"The sudden dissolution of the league, the assistant's behavior, and the nearby bank make the copying job a diversion rather than legitimate work.","Wikisource, Red-Headed League, dissolution notice and bank cellar","The League suddenly dissolves, ending Wilson's copying work. Holmes connects that artificial absence from the shop with Spaulding's behavior, the nearby bank, and the hollow-sounding cellar floor, where the party waits to intercept the attempted burglary.",the league's abrupt dissolution and the inspection of Spaulding and the bank neighborhood,reviewed,Wesley R. Elsberry,2026-07-04,The candidate contradiction combines the artificial job's disappearance with spatial evidence around the bank.
story::speckled-band,The Adventure of the Speckled Band,https://en.wikisource.org/wiki/The_Adventures_of_Sherlock_Holmes/The_Adventure_of_the_Speckled_Band,claim,claim::speckled-band::natural-or-fright,Helen Stoner's account of Julia's death and the locked room,Julia Stoner died from fright or natural causes in a locked room.,"Wikisource, Speckled Band, Helen Stoner recounts Julia's death","Helen Stoner describes Julia's terror, the locked room, her cry about a speckled band, and the absence of any apparent cause. The early account leaves natural causes, fright, or an inexplicable locked-room event as live surface explanations.",Helen Stoner's account of Julia's death and the locked room,reviewed,Wesley R. Elsberry,2026-07-04,"The premise captures natural, fright, or inexplicable locked-room explanations later contradicted by room evidence."
